시도,기준연도,CCTV대수,설치지점수
서울특별시,2026,124138,58300
부산광역시,2026,26879,18075
대구광역시,2026,22071,19972
인천광역시,2026,23656,14422
광주광역시,2026,3116,1853
대전광역시,2026,15404,9047
울산광역시,2026,12509,5926
경기도,2026,186733,58430
강원특별자치도,2026,37751,30283
충청북도,2026,17903,11291
경상북도,2026,49132,32772
충청남도,2026,41016,32080
전북특별자치도,2026,25593,15171
전라남도,2026,36414,22757
경상남도,2026,50513,35392
세종특별자치시,2026,4097,1680
제주특별자치도,2026,5324,1043
대전광역시 동구,2026,1656,899
대전광역시 중구,2026,9667,5547
대전광역시 서구,2026,1687,882
대전광역시 유성구,2026,865,590
대전광역시 대덕구,2026,1491,1104
